ID	Gene Name	Species	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OMIM_DISEASE	PIR_SUPERFAMILY	SMART	UP_KW_BIOLOGICAL_PROCESS	UP_KW_CELLULAR_COMPONENT	UP_KW_DISEASE	UP_KW_DOMAIN	UP_KW_LIGAND	UP_KW_MOLECULAR_FUNCTION	UP_KW_PTM	UP_SEQ_FEATURE
AEBP1	AE binding protein 1(AEBP1)	Homo sapiens	GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:1904026~regulation of collagen fibril organization,	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0070062~extracellular exosome,	GO:0000977~RNA polymerase II regulatory region sequence-specific DNA binding,GO:0001227~transcriptional repressor activity, RNA polymerase II transcription regulatory region sequence-specific binding,GO:0004180~carboxypeptidase activity,GO:0004181~metallocarboxypeptidase activity,GO:0005201~extracellular matrix structural constituent,GO:0005516~calmodulin binding,GO:0005518~collagen binding,GO:0008270~zinc ion binding,	IPR000421:Coagulation factor 5/8 C-terminal type domain,IPR000834:Peptidase M14, carboxypeptidase A,IPR008969:Carboxypeptidase-like, regulatory domain,IPR008979:Galactose-binding domain-like,		618000~Ehlers-Danlos syndrome, classic-like, 2,		SM00231:FA58C,SM00631:Zn_pept,	KW-0804~Transcription,KW-0805~Transcription regulation,	KW-0539~Nucleus,KW-0963~Cytoplasm,KW-0964~Secreted,	KW-0225~Disease variant,KW-0248~Ehlers-Danlos syndrome,	KW-0732~Signal,		KW-0112~Calmodulin-binding,KW-0238~DNA-binding,KW-0678~Repressor,	KW-0325~Glycoprotein,	CARBOHYD:N-linked (GlcNAc...) asparagine,COMPBIAS:Acidic residues,COMPBIAS:Basic and acidic residues,COMPBIAS:Pro residues,DOMAIN:F5/8 type C,DOMAIN:Peptidase_M14,REGION:Disordered,REGION:Interaction with MAPK1 and MAPK3,REGION:Interaction with PTEN,REGION:Required for DNA-binding and interaction with NFKBIA,REGION:Required for transcriptional repression,
AFF2	ALF transcription elongation factor 2(AFF2)	Homo sapiens	GO:0006397~mRNA processing,GO:0007420~brain development,GO:0007611~learning or memory,GO:0008380~RNA splicing,GO:0010468~regulation of gene expression,GO:0010629~negative regulation of gene expression,GO:0035063~nuclear speck organization,GO:0043484~regulation of RNA splicing,	GO:0016607~nuclear speck,	GO:0002151~G-quadruplex RNA binding,GO:0005515~protein binding,	IPR007797:Transcription factor AF4/FMR2,		309548~Intellectual developmental disorder, X-linked 109,			KW-0507~mRNA processing,KW-0508~mRNA splicing,	KW-0539~Nucleus,	KW-0991~Intellectual disability,			KW-0694~RNA-binding,	KW-0597~Phosphoprotein,	COMPBIAS:Basic and acidic residues,COMPBIAS:Polar residues,REGION:Disordered,
ALX3	ALX homeobox 3(ALX3)	Homo sapiens	GO:0006357~regulation of transcription from RNA polymerase II promoter,GO:0007389~pattern specification process,GO:0035115~embryonic forelimb morphogenesis,GO:0035116~embryonic hindlimb morphogenesis,GO:0042981~regulation of apoptotic process,GO:0048701~embryonic cranial skeleton morphogenesis,	GO:0000785~chromatin,GO:0005634~nucleus,	GO:0000977~RNA polymerase II regulatory region sequence-specific DNA binding,GO:0000981~RNA polymerase II transcription factor activity, sequence-specific DNA binding,GO:0003677~DNA binding,GO:1990837~sequence-specific double-stranded DNA binding,	IPR001356:Homeodomain,IPR009057:Homeodomain-like,IPR017970:Homeobox, conserved site,		136760~Frontonasal dysplasia 1,		SM00389:HOX,	KW-0804~Transcription,KW-0805~Transcription regulation,	KW-0539~Nucleus,	KW-0225~Disease variant,	KW-0371~Homeobox,		KW-0217~Developmental protein,KW-0238~DNA-binding,KW-9996~Developmental protein,		COMPBIAS:Pro residues,DNA_BIND:Homeobox,DOMAIN:Homeobox,REGION:Disordered,
APCDD1L	APC down-regulated 1 like(APCDD1L)	Homo sapiens	GO:0030178~negative regulation of Wnt signaling pathway,	GO:0005886~plasma membrane,GO:0016021~integral component of membrane,	GO:0005515~protein binding,GO:0017147~Wnt-protein binding,		hsa04310:Wnt signaling pathway,			SM01352:SM01352,		KW-0472~Membrane,		KW-0732~Signal,KW-0812~Transmembrane,KW-1133~Transmembrane helix,			KW-0325~Glycoprotein,	CARBOHYD:N-linked (GlcNAc...) asparagine,DOMAIN:APCDDC,TRANSMEM:Helical,
ABCC3	ATP binding cassette subfamily C member 3(ABCC3)	Homo sapiens	GO:0006805~xenobiotic metabolic process,GO:0006855~drug transmembrane transport,GO:0015698~inorganic anion transport,GO:0015721~bile acid and bile salt transport,GO:0015779~glucuronoside transport,GO:0042908~xenobiotic transport,GO:0055085~transmembrane transport,GO:0071716~leukotriene transport,	GO:0005886~plasma membrane,GO:0016020~membrane,GO:0016021~integral component of membrane,GO:0016323~basolateral plasma membrane,	GO:0005524~ATP binding,GO:0008559~xenobiotic-transporting ATPase activity,GO:0015164~glucuronoside transmembrane transporter activity,GO:0015431~glutathione S-conjugate-exporting ATPase activity,GO:0015432~bile acid-exporting ATPase activity,GO:0042626~ATPase activity, coupled to transmembrane movement of substances,GO:0042910~xenobiotic transporter activity,GO:0043225~ATPase-coupled anion transmembrane transporter activity,GO:0071714~icosanoid transmembrane transporter activity,	IPR003439:ABC transporter-like,IPR003593:AAA+ ATPase domain,IPR005292:Multi drug resistance-associated protein,IPR011527:ABC transporter, transmembrane domain, type 1,IPR017871:ABC transporter, conserved site,IPR027417:P-loop containing nucleoside triphosphate hydrolase,	hsa01523:Antifolate resistance,hsa02010:ABC transporters,hsa04976:Bile secretion,			SM00382:AAA,	KW-0445~Lipid transport,KW-0813~Transport,	KW-0472~Membrane,KW-1003~Cell membrane,		KW-0677~Repeat,KW-0812~Transmembrane,KW-1133~Transmembrane helix,	KW-0067~ATP-binding,KW-0547~Nucleotide-binding,	KW-1278~Translocase,	KW-0325~Glycoprotein,KW-0597~Phosphoprotein,	CARBOHYD:N-linked (GlcNAc...) asparagine,DOMAIN:ABC transmembrane type-1,DOMAIN:ABC transmembrane type-1 1,DOMAIN:ABC transmembrane type-1 2,DOMAIN:ABC transporter,DOMAIN:ABC transporter 1,DOMAIN:ABC transporter 2,REGION:Disordered,TOPO_DOM:Cytoplasmic,TOPO_DOM:Extracellular,TRANSMEM:Helical,TRANSMEM:Helical; Name=1,TRANSMEM:Helical; Name=10,TRANSMEM:Helical; Name=11,TRANSMEM:Helical; Name=12,TRANSMEM:Helical; Name=13,TRANSMEM:Helical; Name=14,TRANSMEM:Helical; Name=15,TRANSMEM:Helical; Name=16,TRANSMEM:Helical; Name=17,TRANSMEM:Helical; Name=2,TRANSMEM:Helical; Name=3,TRANSMEM:Helical; Name=4,TRANSMEM:Helical; Name=5,TRANSMEM:Helical; Name=6,TRANSMEM:Helical; Name=7,TRANSMEM:Helical; Name=8,TRANSMEM:Helical; Name=9,
ABCF1	ATP binding cassette subfamily F member 1(ABCF1)	Homo sapiens	GO:0006412~translation,GO:0006413~translational initiation,GO:0006954~inflammatory response,GO:0045727~positive regulation of translation,	GO:0005635~nuclear envelope,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0005840~ribosome,GO:0016020~membrane,GO:0042788~polysomal ribosome,	GO:0003723~RNA binding,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0008135~translation factor activity, RNA binding,GO:0008494~translation activator activity,GO:0042626~ATPase activity, coupled to transmembrane movement of substances,GO:0043022~ribosome binding,	IPR003439:ABC transporter-like,IPR003593:AAA+ ATPase domain,IPR017871:ABC transporter, conserved site,IPR027417:P-loop containing nucleoside triphosphate hydrolase,				SM00382:AAA,		KW-0539~Nucleus,KW-0963~Cytoplasm,		KW-0677~Repeat,	KW-0067~ATP-binding,KW-0547~Nucleotide-binding,	KW-0010~Activator,	KW-0597~Phosphoprotein,	COMPBIAS:Acidic residues,COMPBIAS:Basic and acidic residues,DOMAIN:ABC transporter,DOMAIN:ABC transporter 1,DOMAIN:ABC transporter 2,MUTAGEN:E->Q: Does not inhibit ribosome binding. Reduces protein synthesis; when associated with Q-477.,MUTAGEN:E->Q: Does not inhibit ribosome binding. Reduces protein synthesis; when associated with Q-768.,MUTAGEN:G->D: Does not inhibit ribosome binding.,MUTAGEN:H->L: Does not inhibit ribosome binding.,MUTAGEN:K->M: Does not inhibit ribosome binding. Reduces ATP-binding. Inhibits ATP-binding and reduces protein synthesis; when associated with M-342. Shows a reduced association with polyribosomes; when associated with M-664. Does not inhibit IRES-mediated protein synthesis; when associated with M-664.,MUTAGEN:K->M: Does not inhibit ribosome binding. Reduces ATP-binding. Inhibits ATP-binding and reduces protein synthesis; when associated with M-664. Shows an enhanced association with polyribosomes; when associated with M-664. Does not inhibit IRES-mediated protein synthesis; when associated with M-664.,MUTAGEN:Q->E: Does not inhibit ribosome binding.,MUTAGEN:S->A: Reduces phosphorylation. Inhibits strongly phosphorylation by CK2; when associated with S-109. Does not inhibits interaction with EIF2; when associated with S-109. Does not inhibit association with ribosomes; when associated with S-109. Reduces EIF2 interaction with ribosomes; when associated with S-109. Does not inhibit protein synthesis; when associated with A-109.,MUTAGEN:S->A: Reduces phosphorylation. Inhibits strongly phosphorylation by CK2; when associated with S-140. Does not inhibit interaction with EIF2; when associated with S-140. Does not inhibit association with ribosomes; when associated with S-140. Reduces EIF2 interaction with ribosomes; when associated with S-140. Does not inhibit protein synthesis; when associated with A-140.,REGION:Disordered,
ATP6V1B1	ATPase H+ transporting V1 subunit B1(ATP6V1B1)	Homo sapiens	GO:0001503~ossification,GO:0003091~renal water homeostasis,GO:0003096~renal sodium ion transport,GO:0006693~prostaglandin metabolic process,GO:0006885~regulation of pH,GO:0007035~vacuolar acidification,GO:0007588~excretion,GO:0007605~sensory perception of sound,GO:0010468~regulation of gene expression,GO:0016241~regulation of macroautophagy,GO:0030534~adult behavior,GO:0035812~renal sodium excretion,GO:0042048~olfactory behavior,GO:0042472~inner ear morphogenesis,GO:0045851~pH reduction,GO:0046034~ATP metabolic process,GO:0055064~chloride ion homeostasis,GO:0055074~calcium ion homeostasis,GO:0055075~potassium ion homeostasis,GO:0070072~vacuolar proton-transporting V-type ATPase complex assembly,GO:0097254~renal tubular secretion,GO:0097401~synaptic vesicle lumen acidification,GO:1902600~hydrogen ion transmembrane transport,	GO:0000221~vacuolar proton-transporting V-type ATPase, V1 domain,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0005902~microvillus,GO:0016323~basolateral plasma membrane,GO:0016324~apical plasma membrane,GO:0016328~lateral plasma membrane,GO:0016471~vacuolar proton-transporting V-type ATPase complex,GO:0033180~proton-transporting V-type ATPase, V1 domain,GO:0070062~extracellular exosome,GO:0098850~extrinsic component of synaptic vesicle membrane,	GO:0005515~protein binding,GO:0005524~ATP binding,GO:0015078~hydrogen ion transmembrane transporter activity,GO:0016787~hydrolase activity,GO:0044877~macromolecular complex binding,GO:0046961~proton-transporting ATPase activity, rotational mechanism,	IPR000194:ATPase, F1/V1/A1 complex, alpha/beta subunit, nucleotide-binding domain,IPR004100:ATPase, alpha/beta subunit, N-terminal,IPR005723:ATPase, V1 complex, subunit B,IPR020003:ATPase, alpha/beta subunit, nucleotide-binding domain, active site,IPR022879:V-type ATP synthase regulatory subunit B/beta,IPR027417:P-loop containing nucleoside triphosphate hydrolase,	hsa00190:Oxidative phosphorylation,hsa01100:Metabolic pathways,hsa04145:Phagosome,hsa04150:mTOR signaling pathway,hsa04721:Synaptic vesicle cycle,hsa04966:Collecting duct acid secretion,hsa05110:Vibrio cholerae infection,hsa05120:Epithelial cell signaling in Helicobacter pylori infection,hsa05165:Human papillomavirus infection,hsa05323:Rheumatoid arthritis,	267300~Distal renal tubular acidosis 2 with progressive sensorineural hearing loss,			KW-0375~Hydrogen ion transport,KW-0406~Ion transport,KW-0813~Transport,	KW-0472~Membrane,KW-1003~Cell membrane,	KW-0209~Deafness,KW-0225~Disease variant,		KW-0067~ATP-binding,KW-0547~Nucleotide-binding,			DOMAIN:ATP-synt_ab,DOMAIN:ATP-synt_ab_N,MOTIF:PDZ-binding,MUTAGEN:L->G: Loss of interactions with SLC9A3R1 and SCL4A7.,
ATP6V1G2	ATPase H+ transporting V1 subunit G2(ATP6V1G2)	Homo sapiens	GO:0016241~regulation of macroautophagy,GO:0097401~synaptic vesicle lumen acidification,GO:1902600~hydrogen ion transmembrane transport,	GO:0000221~vacuolar proton-transporting V-type ATPase, V1 domain,GO:0005829~cytosol,GO:0016471~vacuolar proton-transporting V-type ATPase complex,GO:0030285~integral component of synaptic vesicle membrane,GO:0030665~clathrin-coated vesicle membrane,GO:0042470~melanosome,GO:0098850~extrinsic component of synaptic vesicle membrane,	GO:0005515~protein binding,GO:0016887~ATPase activity,GO:0042626~ATPase activity, coupled to transmembrane movement of substances,GO:0046961~proton-transporting ATPase activity, rotational mechanism,	IPR005124:Vacuolar (H+)-ATPase G subunit,	hsa00190:Oxidative phosphorylation,hsa01100:Metabolic pathways,hsa04145:Phagosome,hsa04150:mTOR signaling pathway,hsa04721:Synaptic vesicle cycle,hsa04966:Collecting duct acid secretion,hsa05110:Vibrio cholerae infection,hsa05120:Epithelial cell signaling in Helicobacter pylori infection,hsa05165:Human papillomavirus infection,hsa05323:Rheumatoid arthritis,				KW-0375~Hydrogen ion transport,KW-0406~Ion transport,KW-0813~Transport,	KW-0472~Membrane,KW-0968~Cytoplasmic vesicle,						COMPBIAS:Basic and acidic residues,COMPBIAS:Polar residues,REGION:Disordered,
ATP1A3	ATPase Na+/K+ transporting subunit alpha 3(ATP1A3)	Homo sapiens	GO:0006883~cellular sodium ion homeostasis,GO:0010248~establishment or maintenance of transmembrane electrochemical gradient,GO:0021987~cerebral cortex development,GO:0030007~cellular potassium ion homeostasis,GO:0036376~sodium ion export from cell,GO:0060075~regulation of resting membrane potential,GO:0071300~cellular response to retinoic acid,GO:0071383~cellular response to steroid hormone stimulus,GO:0086064~cell communication by electrical coupling involved in cardiac conduction,GO:0097067~cellular response to thyroid hormone stimulus,GO:1902600~hydrogen ion transmembrane transport,GO:1903416~response to glycoside,GO:1904646~cellular response to beta-amyloid,GO:1990535~neuron projection maintenance,GO:1990573~potassium ion import across plasma membrane,	GO:0001917~photoreceptor inner segment,GO:0005783~endoplasmic reticulum,GO:0005794~Golgi apparatus,GO:0005886~plasma membrane,GO:0005890~sodium:potassium-exchanging ATPase complex,GO:0016020~membrane,GO:0016021~integral component of membrane,GO:0030424~axon,GO:0031090~organelle membrane,GO:0032809~neuronal cell body membrane,GO:0042734~presynaptic membrane,GO:0043025~neuronal cell body,GO:0043209~myelin sheath,GO:0044305~calyx of Held,GO:0044326~dendritic spine neck,GO:0044327~dendritic spine head,GO:0045202~synapse,GO:0060342~photoreceptor inner segment membrane,GO:0098984~neuron to neuron synapse,GO:1903561~extracellular vesicle,	GO:0001540~beta-amyloid binding,GO:0005391~sodium:potassium-exchanging ATPase activity,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0008556~potassium-transporting ATPase activity,GO:0016887~ATPase activity,GO:0019829~cation-transporting ATPase activity,GO:0031748~D1 dopamine receptor binding,GO:0046872~metal ion binding,GO:0051087~chaperone binding,GO:0099520~ion antiporter activity involved in regulation of presynaptic membrane potential,GO:1990239~steroid hormone binding,	IPR001757:Cation-transporting P-type ATPase,IPR004014:Cation-transporting P-type ATPase, N-terminal,IPR005775:Sodium/potassium-transporting P-type ATPase, subfamily IIC,IPR006068:Cation-transporting P-type ATPase, C-terminal,IPR008250:P-type ATPase, A  domain,IPR018303:P-type ATPase, phosphorylation site,IPR023214:HAD-like domain,IPR023298:P-type ATPase,  transmembrane domain,IPR023299:P-type ATPase, cytoplasmic domain N,	hsa04022:cGMP-PKG signaling pathway,hsa04024:cAMP signaling pathway,hsa04260:Cardiac muscle contraction,hsa04261:Adrenergic signaling in cardiomyocytes,hsa04911:Insulin secretion,hsa04918:Thyroid hormone synthesis,hsa04919:Thyroid hormone signaling pathway,hsa04925:Aldosterone synthesis and secretion,hsa04960:Aldosterone-regulated sodium reabsorption,hsa04961:Endocrine and other factor-regulated calcium reabsorption,hsa04964:Proximal tubule bicarbonate reclamation,hsa04970:Salivary secretion,hsa04971:Gastric acid secretion,hsa04972:Pancreatic secretion,hsa04973:Carbohydrate digestion and absorption,hsa04974:Protein digestion and absorption,hsa04976:Bile secretion,hsa04978:Mineral absorption,	128235~Dystonia-12,601338~CAPOS syndrome,614820~Alternating hemiplegia of childhood 2,619606~Developmental and epileptic encephalopathy 99,		SM00831:SM00831,	KW-0406~Ion transport,KW-0633~Potassium transport,KW-0739~Sodium transport,KW-0740~Sodium/potassium transport,KW-0813~Transport,	KW-0472~Membrane,KW-1003~Cell membrane,	KW-0209~Deafness,KW-0225~Disease variant,KW-0887~Epilepsy,KW-0908~Parkinsonism,KW-0991~Intellectual disability,KW-1023~Dystonia,	KW-0812~Transmembrane,KW-1133~Transmembrane helix,	KW-0067~ATP-binding,KW-0460~Magnesium,KW-0479~Metal-binding,KW-0547~Nucleotide-binding,KW-0630~Potassium,KW-0915~Sodium,	KW-1278~Translocase,	KW-0597~Phosphoprotein,	ACT_SITE:4-aspartylphosphate intermediate,DOMAIN:Cation_ATPase_N,REGION:Disordered,REGION:Interaction with phosphoinositide-3 kinase,TOPO_DOM:Cytoplasmic,TOPO_DOM:Extracellular,TRANSMEM:Helical,
ATP2B2	ATPase plasma membrane Ca2+ transporting 2(ATP2B2)	Homo sapiens	GO:0003407~neural retina development,GO:0006816~calcium ion transport,GO:0006874~cellular calcium ion homeostasis,GO:0007420~brain development,GO:0007605~sensory perception of sound,GO:0030182~neuron differentiation,GO:0034220~ion transmembrane transport,GO:0051480~regulation of cytosolic calcium ion concentration,GO:0070588~calcium ion transmembrane transport,GO:0099566~regulation of postsynaptic cytosolic calcium ion concentration,GO:1903779~regulation of cardiac conduction,	GO:0005737~cytoplasm,GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0016021~integral component of membrane,GO:0016323~basolateral plasma membrane,GO:0016324~apical plasma membrane,GO:0032591~dendritic spine membrane,GO:0032809~neuronal cell body membrane,GO:0043231~intracellular membrane-bounded organelle,GO:0045121~membrane raft,GO:0048787~presynaptic active zone membrane,GO:0070062~extracellular exosome,GO:0098688~parallel fiber to Purkinje cell synapse,GO:0098793~presynapse,GO:0098839~postsynaptic density membrane,GO:0098978~glutamatergic synapse,GO:0098982~GABA-ergic synapse,	GO:0005388~calcium-transporting ATPase activity,GO:0005509~calcium ion binding,GO:0005515~protein binding,GO:0005516~calmodulin binding,GO:0005524~ATP binding,GO:0008022~protein C-terminus binding,GO:0016887~ATPase activity,GO:0019829~cation-transporting ATPase activity,GO:0030165~PDZ domain binding,GO:0035254~glutamate receptor binding,GO:0046872~metal ion binding,GO:1905056~calcium-transporting ATPase activity involved in regulation of presynaptic cytosolic calcium ion concentration,GO:1905059~calcium-transporting ATPase activity involved in regulation of postsynaptic cytosolic calcium ion concentration,	IPR001757:Cation-transporting P-type ATPase,IPR004014:Cation-transporting P-type ATPase, N-terminal,IPR006068:Cation-transporting P-type ATPase, C-terminal,IPR006408:Calcium-transporting P-type ATPase, subfamily IIB,IPR008250:P-type ATPase, A  domain,IPR018303:P-type ATPase, phosphorylation site,IPR022141:Calcium transporting P-type ATPase, C-terminal, plasma membrane,IPR023214:HAD-like domain,IPR023298:P-type ATPase,  transmembrane domain,IPR023299:P-type ATPase, cytoplasmic domain N,	hsa04020:Calcium signaling pathway,hsa04022:cGMP-PKG signaling pathway,hsa04024:cAMP signaling pathway,hsa04261:Adrenergic signaling in cardiomyocytes,hsa04925:Aldosterone synthesis and secretion,hsa04961:Endocrine and other factor-regulated calcium reabsorption,hsa04970:Salivary secretion,hsa04972:Pancreatic secretion,hsa04978:Mineral absorption,	601386~Deafness, autosomal recessive 12, modifier of,619804~Deafness, autosomal dominant 82,		SM00831:SM00831,	KW-0109~Calcium transport,KW-0406~Ion transport,KW-0813~Transport,	KW-0472~Membrane,KW-0770~Synapse,KW-1003~Cell membrane,		KW-0812~Transmembrane,KW-1133~Transmembrane helix,	KW-0067~ATP-binding,KW-0106~Calcium,KW-0460~Magnesium,KW-0479~Metal-binding,KW-0547~Nucleotide-binding,	KW-0112~Calmodulin-binding,KW-1278~Translocase,	KW-0597~Phosphoprotein,	ACT_SITE:4-aspartylphosphate intermediate,COMPBIAS:Basic and acidic residues,COMPBIAS:Polar residues,DOMAIN:ATP_Ca_trans_C,DOMAIN:Cation_ATPase_C,DOMAIN:Cation_ATPase_N,REGION:Calmodulin-binding subdomain A,REGION:Calmodulin-binding subdomain B,REGION:Disordered,TOPO_DOM:Cytoplasmic,TOPO_DOM:Extracellular,TRANSMEM:Helical,
ARAP3	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 3(ARAP3)	Homo sapiens	GO:0007010~cytoskeleton organization,GO:0007165~signal transduction,GO:0016192~vesicle-mediated transport,GO:0043547~positive regulation of GTPase activity,	GO:0001726~ruffle,GO:0005737~cytoplasm,GO:0005856~cytoskeleton,GO:0005886~plasma membrane,GO:0030027~lamellipodium,	GO:0005096~GTPase activator activity,GO:0005515~protein binding,GO:0005547~phosphatidylinositol-3,4,5-trisphosphate binding,GO:0043325~phosphatidylinositol-3,4-bisphosphate binding,GO:0046872~metal ion binding,	IPR000159:Ras-association,IPR000198:Rho GTPase-activating protein domain,IPR001164:Arf GTPase activating protein,IPR001660:Sterile alpha motif domain,IPR001849:Pleckstrin homology domain,IPR008936:Rho GTPase activation protein,IPR011993:Pleckstrin homology-like domain,IPR013761:Sterile alpha motif/pointed domain,	hsa04015:Rap1 signaling pathway,hsa04024:cAMP signaling pathway,hsa04144:Endocytosis,			SM00105:ArfGap,SM00233:PH,SM00324:RhoGAP,SM00454:SAM,		KW-0206~Cytoskeleton,KW-0472~Membrane,KW-0963~Cytoplasm,KW-0966~Cell projection,KW-1003~Cell membrane,		KW-0677~Repeat,KW-0863~Zinc-finger,	KW-0479~Metal-binding,KW-0862~Zinc,	KW-0343~GTPase activation,	KW-0597~Phosphoprotein,	COMPBIAS:Basic and acidic residues,COMPBIAS:Polar residues,COMPBIAS:Pro residues,DOMAIN:Arf-GAP,DOMAIN:PH,DOMAIN:PH 1,DOMAIN:PH 2,DOMAIN:PH 3,DOMAIN:Ras-associating,DOMAIN:Rho-GAP,DOMAIN:SAM,MUTAGEN:RR->AA: Loss of PtdIns(3,4,5)P3 binding.,REGION:Disordered,ZN_FING:C4-type,
BCL2L12	BCL2 like 12(BCL2L12)	Homo sapiens	GO:0006915~apoptotic process,GO:0042981~regulation of apoptotic process,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:1902166~negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator,GO:1990001~inhibition of cysteine-type endopeptidase activity involved in apoptotic process,GO:2000773~negative regulation of cellular senescence,GO:2001236~regulation of extrinsic apoptotic signaling pathway,	GO:0005634~nucleus,GO:0016020~membrane,	GO:0002039~p53 binding,						KW-0053~Apoptosis,						KW-0488~Methylation,KW-0597~Phosphoprotein,	MOTIF:BH2,REGION:Disordered,
BCL3	BCL3 transcription coactivator(BCL3)	Homo sapiens	GO:0002268~follicular dendritic cell differentiation,GO:0002315~marginal zone B cell differentiation,GO:0002455~humoral immune response mediated by circulating immunoglobulin,GO:0002467~germinal center formation,GO:0006606~protein import into nucleus,GO:0006974~cellular response to DNA damage stimulus,GO:0007249~I-kappaB kinase/NF-kappaB signaling,GO:0009615~response to virus,GO:0010225~response to UV-C,GO:0019730~antimicrobial humoral response,GO:0030198~extracellular matrix organization,GO:0030330~DNA damage response, signal transduction by p53 class mediator,GO:0032088~negative regulation of NF-kappaB transcription factor activity,GO:0032717~negative regulation of interleukin-8 production,GO:0032720~negative regulation of tumor necrosis factor production,GO:0032729~positive regulation of interferon-gamma production,GO:0032733~positive regulation of interleukin-10 production,GO:0042088~T-helper 1 type immune response,GO:0042742~defense response to bacterium,GO:0042771~intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator,GO:0042832~defense response to protozoan,GO:0042981~regulation of apoptotic process,GO:0043066~negative regulation of apoptotic process,GO:0045064~T-helper 2 cell differentiation,GO:0045727~positive regulation of translation,GO:0045892~negative regulation of transcription, DNA-templated,GO:0045893~positive regulation of transcription, DNA-templated,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0046426~negative regulation of JAK-STAT cascade,GO:0048536~spleen development,GO:0051101~regulation of DNA binding,GO:0070231~T cell apoptotic process,GO:0070233~negative regulation of T cell apoptotic process,GO:1901222~regulation of NIK/NF-kappaB signaling,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0005886~plasma membrane,GO:0030496~midbody,GO:0032991~macromolecular complex,GO:0032996~Bcl3-Bcl10 complex,GO:0033257~Bcl3/NF-kappaB2 complex,GO:0043231~intracellular membrane-bounded organelle,GO:0048471~perinuclear region of cytoplasm,	GO:0003713~transcription coactivator activity,GO:0003714~transcription corepressor activity,GO:0005515~protein binding,GO:0030674~protein binding, bridging,GO:0042826~histone deacetylase binding,	IPR002110:Ankyrin repeat,IPR020683:Ankyrin repeat-containing domain,	hsa04625:C-type lectin receptor signaling pathway,hsa04668:TNF signaling pathway,	Leukemia/lymphoma, B-cell, 3~Leukemia/lymphoma, B-cell, 3,		SM00248:ANK,	KW-0804~Transcription,KW-0805~Transcription regulation,	KW-0539~Nucleus,KW-0963~Cytoplasm,	KW-0656~Proto-oncogene,	KW-0040~ANK repeat,KW-0677~Repeat,		KW-0010~Activator,	KW-0597~Phosphoprotein,KW-0832~Ubl conjugation,	COMPBIAS:Polar residues,COMPBIAS:Pro residues,REGION:Disordered,REPEAT:ANK,REPEAT:ANK 1,REPEAT:ANK 2,REPEAT:ANK 3,REPEAT:ANK 4,REPEAT:ANK 5,REPEAT:ANK 6,REPEAT:ANK 7,
BEND4	BEN domain containing 4(BEND4)	Homo sapiens			GO:0003677~DNA binding,	IPR018379:BEN domain,				SM01025:SM01025,				KW-0175~Coiled coil,				COMPBIAS:Polar residues,COMPBIAS:Pro residues,DOMAIN:BEN,REGION:Disordered,
BRINP1	BMP/retinoic acid inducible neural specific 1(BRINP1)	Homo sapiens	GO:0001662~behavioral fear response,GO:0007049~cell cycle,GO:0007614~short-term memory,GO:0008219~cell death,GO:0022008~neurogenesis,GO:0035176~social behavior,GO:0035640~exploration behavior,GO:0042711~maternal behavior,GO:0045666~positive regulation of neuron differentiation,GO:0045786~negative regulation of cell cycle,GO:0045930~negative regulation of mitotic cell cycle,GO:0050768~negative regulation of neurogenesis,GO:0071300~cellular response to retinoic acid,GO:0071625~vocalization behavior,	GO:0005737~cytoplasm,GO:0005783~endoplasmic reticulum,GO:0030425~dendrite,GO:0043025~neuronal cell body,	GO:0005515~protein binding,	IPR020864:Membrane attack complex component/perforin (MACPF) domain,				SM00457:MACPF,	KW-0131~Cell cycle,KW-0338~Growth arrest,	KW-0963~Cytoplasm,		KW-0732~Signal,			KW-0325~Glycoprotein,	CARBOHYD:N-linked (GlcNAc...) asparagine,DOMAIN:MACPF,
